[DEBUG parseFuncDecl] nameToken=failsafe, peek()==, type=168
PARSING CAST: token=CAST_UNCHECKED isUnchecked=1
[DEBUG parseFuncDecl] nameToken=str_char_at, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_slice, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_before, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_after, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_before_last, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_after_last, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_between, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_replace, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_replace_all, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_remove_prefix, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_remove_suffix, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_count, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_line_count, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_is_blank, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_token_count, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=str_token, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=char_at, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=slice, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=before, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=after, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=before_last, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=after_last, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=between, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=replace, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=replace_all, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=remove_prefix, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=remove_suffix, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=count, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=line_count, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=is_blank, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=token_count, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=token, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=toml_init, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=toml_clear, peek()==, type=168
[DEBUG parseFuncDecl] nameToken=toml_parse, peek()==, type=168
